,Player,Pos,Age,Club,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
22,Ángel Correa,MF,27.0,1.es Atlético Madrid,1.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Argentina,
23,Juan Foyth,DF,24.0,1.es Villarreal,1.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Argentina,
24,Franco Armani,GK,35.0,1.ar River Plate,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Argentina,
25,Gerónimo Rulli,GK,30.0,1.es Villarreal,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Argentina,
26,Squad Total,,27.5,,7.0,77,690.0,7.7,15.0,8.0,11.0,4.0,5.0,17.0,0.0,1.96,1.04,3.0,1.43,2.48,15.1,11.3,7.7,19.0,1.96,1.0,2.97,1.47,2.48,,Argentina,
27,Opponent Total,,27.5,,7.0,77,690.0,7.7,7.0,4.0,5.0,2.0,2.0,26.0,1.0,0.91,0.52,1.43,0.65,1.17,4.6,3.1,2.5,5.6,0.6,0.33,0.93,0.4,0.73,,Argentina,
0,Aurélien Tchouaméni,MF,22.0,1.es Real Madrid,7.0,7,621.0,6.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,0.3,0.3,1.0,1.4,0.05,0.16,0.21,0.05,0.21,Matches,France,
1,Kylian Mbappé,FW,23.0,1.fr Paris S-G,7.0,6,598.0,6.6,8.0,2.0,6.0,2.0,2.0,0.0,0.0,1.2,0.3,1.51,0.9,1.2,5.2,3.6,1.3,5.0,0.82,0.21,1.04,0.58,0.79,Matches,France,
2,Hugo Lloris,GK,35.0,1.eng Tottenham,6.0,6,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,France,
3,Antoine Griezmann,MF,31.0,1.es Atlético Madrid,7.0,6,537.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.7,0.7,3.1,3.8,0.11,0.52,0.63,0.11,0.63,Matches,France,
4,Raphaël Varane,DF,29.0,1.eng Manchester Utd,6.0,6,518.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.06,0.0,0.06,0.06,0.06,Matches,France,
