,Player,Pos,Age,Club,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
17,Abdessamad Ezzalzouli,"FW,MF",20.0,1.es Osasuna,3.0,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.09,0.39,0.49,0.09,0.49,Matches,Morocco,
18,Zakaria Aboukhlal,"FW,MF",22.0,1.fr Toulouse,4.0,0,79.0,0.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.14,0.0,1.14,1.14,1.14,1.0,1.0,0.0,1.0,1.16,0.0,1.16,1.16,1.16,Matches,Morocco,
19,Abderrazak Hamdallah,FW,31.0,1.sa Al-Ittihad,4.0,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.52,0.0,0.52,0.52,0.52,Matches,Morocco,
20,Walid Cheddira,FW,24.0,2.it Bari,2.0,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.24,0.0,1.24,1.24,1.24,Matches,Morocco,
21,Badr Banoun,DF,28.0,1.qa Qatar SC,3.0,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco,
22,Ilias Chair,MF,24.0,2.eng QPR,1.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco,
23,Anass Zaroury,FW,21.0,2.eng Burnley,1.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco,
24,Yahya Jabrane,MF,30.0,1.ma Wydad Casablanca,2.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,Morocco,
25,Ahmed Reda Tagnaouti,GK,26.0,1.ma Wydad Casablanca,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Morocco,
26,Squad Total,,26.3,,7.0,77,660.0,7.3,6.0,4.0,6.0,0.0,0.0,9.0,1.0,0.82,0.55,1.36,0.82,1.36,6.6,6.6,4.6,11.2,0.9,0.63,1.53,0.9,1.53,,Morocco,
27,Opponent Total,,27.2,,7.0,77,660.0,7.3,4.0,2.0,4.0,0.0,0.0,7.0,0.0,0.55,0.27,0.82,0.55,0.82,7.4,7.4,5.3,12.8,1.01,0.73,1.74,1.01,1.74,,Morocco,
0,Andries Noppert,GK,28.0,1.nl Heerenveen,,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands,5.0
1,Virgil van Dijk,DF,30.0,1.eng Liverpool,,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches,Netherlands,5.0
2,Nathan Aké,DF,27.0,1.eng Manchester City,,5,479.0,5.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands,5.0
3,Denzel Dumfries,DF,26.0,1.it Inter,,5,479.0,5.3,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.19,0.38,0.56,0.19,0.56,0.4,0.4,0.3,0.7,0.08,0.06,0.14,0.08,0.14,Matches,Netherlands,5.0
4,Frenkie de Jong,MF,25.0,1.es Barcelona,,5,475.0,5.3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.19,0.19,0.38,0.19,0.38,0.9,0.9,0.2,1.1,0.18,0.04,0.22,0.18,0.22,Matches,Netherlands,5.0
5,Cody Gakpo,"FW,MF",23.0,1.nl PSV Eindhoven,,5,450.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,0.3,0.3,0.6,0.9,0.06,0.12,0.18,0.06,0.18,Matches,Netherlands,5.0
6,Daley Blind,DF,32.0,1.nl Ajax,,5,423.0,4.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21,0.21,0.43,0.21,0.43,0.4,0.4,0.5,0.8,0.08,0.1,0.18,0.08,0.18,Matches,Netherlands,5.0
7,Jurriën Timber,DF,20.0,1.nl Ajax,,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands,4.0
8,Memphis,FW,28.0,1.es Barcelona,,3,297.0,3.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.3,0.3,1.5,1.5,0.5,2.0,0.44,0.16,0.61,0.44,0.61,Matches,Netherlands,5.0
9,Steven Bergwijn,FW,24.0,1.nl Ajax,,3,213.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.21,0.0,0.21,0.21,0.21,Matches,Netherlands,4.0
10,Davy Klaassen,"MF,FW",29.0,1.nl Ajax,,3,190.0,2.1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.47,0.95,1.42,0.47,1.42,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25,Matches,Netherlands,4.0
11,Marten de Roon,MF,31.0,1.it Atalanta,,3,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands,5.0
12,Teun Koopmeiners,MF,24.0,1.it Atalanta,,1,219.0,2.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41,0.41,0.0,0.41,0.1,0.1,0.2,0.3,0.04,0.09,0.13,0.04,0.13,Matches,Netherlands,5.0
13,Steven Berghuis,MF,30.0,1.nl Ajax,,1,200.0,2.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.45,0.0,0.45,0.3,0.3,0.1,0.3,0.13,0.04,0.17,0.13,0.17,Matches,Netherlands,4.0
14,Matthijs de Ligt,DF,22.0,1.de Bayern Munich,,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands,2.0
15,Vincent Janssen,FW,27.0,1.be Antwerp,,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.09,0.04,0.13,0.09,0.13,Matches,Netherlands,2.0
16,Wout Weghorst,FW,29.0,1.tr Beşiktaş,,0,64.0,0.7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.81,0.0,2.81,2.81,2.81,0.2,0.2,0.0,0.2,0.52,0.08,0.6,0.52,0.6,Matches,Netherlands,4.0
17,Luuk de Jong,FW,31.0,1.nl PSV Eindhoven,,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.25,0.0,0.25,0.25,0.25,Matches,Netherlands,1.0
18,Xavi Simons,"FW,MF",19.0,1.nl PSV Eindhoven,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands,1.0
19,Noa Lang,MF,22.0,1.be Club Brugge,,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Netherlands,1.0
20,Kenneth Taylor,MF,20.0,1.nl Ajax,,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands,1.0
21,Justin Bijlow,GK,24.0,1.nl Feyenoord,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Netherlands,0.0
22,Jeremie Frimpong,"DF,MF",21.0,1.de Leverkusen,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Netherlands,0.0
23,Tyrell Malacia,DF,22.0,1.eng Manchester Utd,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Netherlands,0.0
24,Remko Pasveer,GK,38.0,1.nl Ajax,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Netherlands,0.0
25,Stefan de Vrij,DF,30.0,1.it Inter,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Netherlands,0.0
26,Squad Total,,26.8,,,55,480.0,5.3,10.0,8.0,10.0,0.0,0.0,12.0,1.0,1.87,1.5,3.38,1.87,3.38,4.6,4.6,2.9,7.5,0.86,0.54,1.41,0.86,1.41,,Netherlands,5.0
27,Opponent Total,,26.4,,,55,480.0,5.3,4.0,2.0,3.0,1.0,1.0,13.0,0.0,0.75,0.37,1.13,0.56,0.94,6.1,5.3,3.9,9.2,1.14,0.73,1.87,0.99,1.72,,Netherlands,5.0
0,Jordan Pickford,GK,28.0,1.eng Everton,,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,England,5.0
1,John Stones,DF,28.0,1.eng Manchester City,,5,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.07,0.01,0.09,0.07,0.09,Matches,England,5.0
2,Harry Maguire,DF,29.0,1.eng Manchester Utd,,5,429.0,4.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21,0.21,0.0,0.21,0.4,0.4,0.0,0.4,0.08,0.01,0.09,0.08,0.09,Matches,England,5.0
3,Luke Shaw,DF,26.0,1.eng Manchester Utd,,5,424.0,4.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,0.1,0.1,0.8,0.9,0.02,0.17,0.19,0.02,0.19,Matches,England,5.0
4,Declan Rice,MF,23.0,1.eng West Ham,,5,417.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,England,5.0
5,Jude Bellingham,MF,18.0,1.de Dortmund,,5,414.0,4.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22,0.22,0.43,0.22,0.43,0.6,0.6,0.3,0.9,0.12,0.07,0.19,0.12,0.19,Matches,England,5.0
6,Harry Kane,FW,28.0,1.eng Tottenham,,5,402.0,4.5,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.45,0.67,1.12,0.22,0.9,2.7,1.1,1.5,2.6,0.6,0.34,0.94,0.25,0.59,Matches,England,5.0
7,Bukayo Saka,FW,20.0,1.eng Arsenal,,4,288.0,3.2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,0.6,0.6,0.7,1.3,0.2,0.2,0.4,0.2,0.4,Matches,England,4.0
8,Jordan Henderson,MF,31.0,1.eng Liverpool,,3,271.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,0.2,0.2,0.3,0.5,0.05,0.11,0.16,0.05,0.16,Matches,England,4.0
9,Phil Foden,"FW,MF",22.0,1.eng Manchester City,,3,258.0,2.9,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.35,0.7,1.05,0.35,1.05,1.1,1.1,0.6,1.6,0.38,0.2,0.57,0.38,0.57,Matches,England,4.0
10,Kyle Walker,DF,32.0,1.eng Manchester City,,3,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,England,3.0
11,Kieran Trippier,DF,31.0,1.eng Newcastle Utd,,2,206.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.02,0.07,0.09,0.02,0.09,Matches,England,3.0
12,Mason Mount,MF,23.0,1.eng Chelsea,,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.1,0.02,0.12,0.1,0.12,Matches,England,4.0
13,Raheem Sterling,FW,27.0,1.eng Chelsea,,2,149.0,1.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,1.21,0.6,1.21,0.4,0.4,0.1,0.5,0.22,0.09,0.31,0.22,0.31,Matches,England,3.0
14,Marcus Rashford,FW,24.0,1.eng Manchester Utd,,1,140.0,1.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.93,0.0,1.93,1.93,1.93,1.6,1.6,0.0,1.6,1.03,0.0,1.03,1.03,1.03,Matches,England,5.0
15,Jack Grealish,FW,26.0,1.eng Manchester City,,0,86.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.05,0.0,1.05,1.05,1.05,0.6,0.6,0.1,0.8,0.69,0.12,0.81,0.69,0.81,Matches,England,5.0
16,Callum Wilson,FW,30.0,1.eng Newcastle Utd,,0,48.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,1.87,0.0,1.87,0.0,0.0,0.9,0.9,0.0,1.7,1.7,0.0,1.7,Matches,England,2.0
17,Kalvin Phillips,MF,26.0,1.eng Manchester City,,0,42.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,2.14,0.0,2.14,0.0,0.0,0.1,0.1,0.0,0.17,0.17,0.0,0.17,Matches,England,2.0
18,Eric Dier,DF,28.0,1.eng Tottenham,,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,England,2.0
19,Trent Alexander-Arnold,DF,23.0,1.eng Liverpool,,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,England,1.0
20,Conor Coady,"DF,MF",29.0,1.eng Everton,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,England,0.0
21,Conor Gallagher,MF,22.0,1.eng Chelsea,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,England,0.0
22,James Maddison,"FW,MF",25.0,1.eng Leicester City,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,England,0.0
23,Nick Pope,GK,30.0,1.eng Newcastle Utd,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,England,0.0
24,Aaron Ramsdale,GK,24.0,1.eng Arsenal,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,England,0.0
25,Ben White,DF,24.0,1.eng Arsenal,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,England,0.0
26,Squad Total,,26.1,,,55,450.0,5.0,13.0,11.0,12.0,1.0,2.0,1.0,0.0,2.6,2.2,4.8,2.4,4.6,8.7,7.1,5.7,12.8,1.73,1.13,2.87,1.42,2.55,,England,5.0
27,Opponent Total,,26.5,,,55,450.0,5.0,4.0,3.0,3.0,1.0,1.0,8.0,0.0,0.8,0.6,1.4,0.6,1.2,4.0,3.7,3.1,6.8,0.81,0.62,1.43,0.73,1.35,,England,5.0
0,Marquinhos,DF,28.0,1.fr Paris S-G,,4,426.0,4.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.9,0.04,0.17,0.21,0.04,0.21,Matches,Brazil,5.0
1,Casemiro,MF,30.0,1.eng Manchester Utd,,4,390.0,4.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.23,0.0,0.23,0.23,0.23,0.4,0.4,0.1,0.6,0.1,0.04,0.14,0.1,0.14,Matches,Brazil,4.0
2,Thiago Silva,DF,37.0,1.eng Chelsea,,4,390.0,4.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.2,0.2,0.9,1.1,0.04,0.23,0.27,0.04,0.27,Matches,Brazil,4.0
3,Alisson,GK,29.0,1.eng Liverpool,,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brazil,4.0
4,Éder Militão,DF,24.0,1.es Real Madrid,,4,347.0,3.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.05,0.01,0.05,0.05,0.05,Matches,Brazil,4.0
5,Richarlison,FW,25.0,1.eng Tottenham,,4,323.0,3.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.84,0.0,0.84,0.84,0.84,2.1,2.1,1.0,3.1,0.59,0.27,0.86,0.59,0.86,Matches,Brazil,4.0
6,Raphinha,FW,25.0,1.es Barcelona,,4,315.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,1.2,1.2,1.3,2.5,0.35,0.38,0.72,0.35,0.72,Matches,Brazil,5.0
7,Lucas Paquetá,MF,24.0,1.eng West Ham,,4,314.0,3.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.29,0.29,0.57,0.29,0.57,0.8,0.8,1.5,2.3,0.24,0.43,0.67,0.24,0.67,Matches,Brazil,4.0
8,Vinicius Júnior,FW,21.0,1.es Real Madrid,,4,299.0,3.3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.6,0.9,0.3,0.9,1.0,1.0,0.7,1.7,0.3,0.2,0.5,0.3,0.5,Matches,Brazil,4.0
9,Danilo,DF,30.0,1.it Juventus,,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Brazil,3.0
10,Neymar,MF,30.0,1.fr Paris S-G,,3,279.0,3.1,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.65,0.0,0.65,0.32,0.32,2.7,1.9,0.8,2.7,0.98,0.29,1.27,0.7,0.98,Matches,Brazil,3.0
11,Alex Sandro,DF,31.0,1.it Juventus,,2,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches,Brazil,3.0
12,Fred,MF,29.0,1.eng Manchester Utd,,2,142.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.6,0.23,0.16,0.39,0.23,0.39,Matches,Brazil,4.0
13,Rodrygo,"MF,FW",21.0,1.es Real Madrid,,1,181.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.4,0.4,0.4,0.9,0.26,0.25,0.52,0.26,0.52,Matches,Brazil,5.0
14,Antony,FW,22.0,1.eng Manchester Utd,,1,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.15,0.08,0.22,0.15,0.22,Matches,Brazil,4.0
15,Dani Alves,DF,39.0,1.mx UNAM,,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.14,0.0,0.14,0.14,0.14,Matches,Brazil,2.0
16,Martinelli,FW,20.0,1.eng Arsenal,,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.42,0.14,0.56,0.42,0.56,Matches,Brazil,3.0
17,Gleison Bremer,DF,25.0,1.it Juventus,,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.14,0.0,0.14,0.14,0.14,Matches,Brazil,2.0
18,Gabriel Jesus,FW,25.0,1.eng Arsenal,,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.35,0.23,0.58,0.35,0.58,Matches,Brazil,3.0
19,Ederson,GK,28.0,1.eng Manchester City,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brazil,1.0
20,Fabinho,MF,28.0,1.eng Liverpool,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brazil,1.0
21,Alex Telles,DF,29.0,1.es Sevilla,,1,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brazil,2.0
22,Bruno Guimarães,MF,24.0,1.eng Newcastle Utd,,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.92,0.0,0.92,0.92,0.92,Matches,Brazil,2.0
23,Pedro,FW,24.0,1.br Flamengo,,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.39,0.0,1.39,1.39,1.39,Matches,Brazil,2.0
24,Everton Ribeiro,MF,33.0,1.br Flamengo,,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.21,0.21,0.0,0.21,Matches,Brazil,1.0
25,Wéverton,GK,34.0,1.br Palmeiras,,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brazil,1.0
26,Squad Total,,27.6,,,55,480.0,5.3,8.0,6.0,7.0,1.0,1.0,6.0,0.0,1.5,1.13,2.62,1.31,2.44,12.0,11.2,8.2,19.4,2.24,1.54,3.79,2.09,3.64,,Brazil,5.0
27,Opponent Total,,27.5,,,55,480.0,5.3,3.0,2.0,3.0,0.0,0.0,12.0,1.0,0.56,0.37,0.94,0.56,0.94,2.0,2.0,1.8,3.8,0.38,0.34,0.72,0.38,0.72,,Brazil,5.0
0,Diogo Costa,GK,22.0,1.pt Porto,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Portugal,
1,Rúben Dias,DF,25.0,1.eng Manchester City,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Portugal,
2,Pepe,DF,39.0,1.pt Porto,4.0,4,360.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.4,0.4,0.0,0.4,0.11,0.0,0.11,0.11,0.11,Matches,Portugal,
3,Bruno Fernandes,"FW,MF",27.0,1.eng Manchester Utd,4.0,4,356.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.51,0.76,1.26,0.25,1.01,1.1,0.3,1.7,2.0,0.28,0.42,0.71,0.08,0.51,Matches,Portugal,
4,Bernardo Silva,MF,27.0,1.eng Manchester City,5.0,4,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.5,0.04,0.09,0.14,0.04,0.14,Matches,Portugal,
5,João Félix,FW,22.0,1.es Atlético Madrid,4.0,4,331.0,3.7,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.27,0.54,0.82,0.27,0.82,0.9,0.9,0.4,1.2,0.24,0.1,0.34,0.24,0.34,Matches,Portugal,
6,Rúben Neves,MF,25.0,1.eng Wolves,5.0,4,268.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,Portugal,
7,João Cancelo,DF,28.0,1.eng Manchester City,4.0,3,310.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Portugal,
8,Cristiano Ronaldo,FW,37.0,1.eng Manchester Utd,5.0,3,290.0,3.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.31,0.0,0.31,0.0,0.0,1.6,0.8,0.1,1.0,0.51,0.04,0.55,0.26,0.3,Matches,Portugal,
9,Raphaël Guerreiro,DF,28.0,1.de Dortmund,4.0,3,279.0,3.1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.32,0.65,0.97,0.32,0.97,0.4,0.4,0.6,1.0,0.12,0.19,0.31,0.12,0.31,Matches,Portugal,
10,Diogo Dalot,DF,23.0,1.eng Manchester Utd,3.0,3,258.0,2.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,0.0,0.7,0.8,0.01,0.25,0.26,0.01,0.26,Matches,Portugal,
11,Otávio,MF,27.0,1.pt Porto,3.0,3,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.05,0.17,0.23,0.05,0.23,Matches,Portugal,
12,William Carvalho,MF,30.0,1.es Betis,4.0,2,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03,Matches,Portugal,
13,Gonçalo Ramos,"FW,MF",20.0,1.pt Benfica,4.0,2,152.0,1.7,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.78,0.59,2.37,1.78,2.37,1.6,1.6,0.4,1.9,0.93,0.21,1.13,0.93,1.13,Matches,Portugal,
