,Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,
25,Opponent Total,,27.5,7.7,2713.0,3461.0,78.4,48572.0,16479.0,1185.0,1346.0,88.0,1149.0,1358.0,84.6,298.0,538.0,55.4,4,2.5,2.5,1.5,29.0,179.0,26.0,9.0,140.0,,Argentina
0,Aurélien Tchouaméni,MF,22.0,6.9,424.0,474.0,89.5,7447.0,1871.0,183.0,196.0,93.4,205.0,221.0,92.8,30.0,42.0,71.4,0,1.0,0.4,-1.0,6.0,48.0,3.0,0.0,37.0,Matches,France
1,Kylian Mbappé,FW,23.0,6.6,173.0,229.0,75.5,2564.0,645.0,110.0,123.0,89.4,48.0,61.0,78.7,12.0,25.0,48.0,2,1.3,1.3,0.7,11.0,16.0,8.0,2.0,16.0,Matches,France
2,Hugo Lloris,GK,35.0,6.3,110.0,182.0,60.4,3602.0,2901.0,18.0,18.0,100.0,47.0,49.0,95.9,45.0,114.0,39.5,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches,France
3,Antoine Griezmann,MF,31.0,6.0,258.0,329.0,78.4,4900.0,1373.0,123.0,135.0,91.1,89.0,112.0,79.5,42.0,66.0,63.6,3,3.1,3.6,-0.1,21.0,26.0,10.0,5.0,19.0,Matches,France
4,Raphaël Varane,DF,29.0,5.8,256.0,286.0,89.5,5125.0,1467.0,78.0,85.0,91.8,155.0,162.0,95.7,23.0,38.0,60.5,0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5.0,Matches,France
5,Ousmane Dembélé,FW,25.0,4.8,145.0,192.0,75.5,2332.0,475.0,76.0,89.0,85.4,51.0,63.0,81.0,12.0,25.0,48.0,2,1.6,1.0,0.4,11.0,7.0,13.0,6.0,10.0,Matches,France
6,Olivier Giroud,FW,35.0,4.7,48.0,74.0,64.9,633.0,148.0,37.0,50.0,74.0,9.0,18.0,50.0,1.0,2.0,50.0,0,0.1,0.3,-0.1,2.0,4.0,1.0,0.0,5.0,Matches,France
7,Theo Hernández,DF,24.0,5.6,289.0,339.0,85.3,4669.0,1343.0,156.0,169.0,92.3,105.0,119.0,88.2,25.0,39.0,64.1,2,1.2,1.0,0.8,11.0,23.0,7.0,5.0,16.0,Matches,France
8,Adrien Rabiot,MF,27.0,5.4,237.0,284.0,83.5,3780.0,847.0,128.0,144.0,88.9,84.0,95.0,88.4,18.0,26.0,69.2,1,0.9,0.5,0.1,3.0,36.0,0.0,0.0,13.0,Matches,France
9,Jules Koundé,DF,23.0,5.3,252.0,311.0,81.0,4131.0,1297.0,128.0,137.0,93.4,98.0,121.0,81.0,22.0,29.0,75.9,0,0.1,0.1,-0.1,1.0,25.0,0.0,0.0,6.0,Matches,France
10,Dayot Upamecano,DF,23.0,5.3,314.0,351.0,89.5,6860.0,2217.0,83.0,88.0,94.3,172.0,179.0,96.1,56.0,75.0,74.7,0,0.1,0.1,-0.1,2.0,28.0,0.0,0.0,19.0,Matches,France
11,Ibrahima Konaté,DF,23.0,3.3,215.0,235.0,91.5,4319.0,1516.0,71.0,76.0,93.4,118.0,124.0,95.2,26.0,34.0,76.5,0,0.4,0.3,-0.4,2.0,22.0,1.0,0.0,15.0,Matches,France
12,Youssouf Fofana,MF,23.0,2.5,96.0,112.0,85.7,1582.0,341.0,46.0,53.0,86.8,43.0,44.0,97.7,6.0,11.0,54.5,0,0.2,0.1,-0.2,1.0,14.0,1.0,0.0,5.0,Matches,France
13,Randal Kolo Muani,FW,23.0,2.0,25.0,43.0,58.1,325.0,36.0,19.0,28.0,67.9,6.0,8.0,75.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches,France
14,Kingsley Coman,"FW,MF",26.0,1.9,56.0,72.0,77.8,835.0,123.0,32.0,35.0,91.4,20.0,25.0,80.0,4.0,10.0,40.0,0,0.1,0.2,-0.1,1.0,1.0,2.0,1.0,1.0,Matches,France
15,Eduardo Camavinga,DF,19.0,1.6,88.0,101.0,87.1,1444.0,423.0,48.0,50.0,96.0,37.0,41.0,90.2,3.0,7.0,42.9,0,0.1,0.1,-0.1,3.0,3.0,2.0,1.0,3.0,Matches,France
16,Axel Disasi,DF,24.0,1.0,61.0,78.0,78.2,918.0,302.0,30.0,36.0,83.3,24.0,30.0,80.0,2.0,4.0,50.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,Matches,France
17,Steve Mandanda,GK,37.0,1.0,19.0,31.0,61.3,414.0,303.0,2.0,2.0,100.0,15.0,15.0,100.0,2.0,14.0,14.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,France
18,Benjamin Pavard,DF,26.0,1.0,82.0,90.0,91.1,1249.0,249.0,47.0,48.0,97.9,32.0,35.0,91.4,2.0,6.0,33.3,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,Matches,France
19,Mattéo Guendouzi,"FW,MF",23.0,0.9,27.0,33.0,81.8,399.0,79.0,17.0,21.0,81.0,9.0,9.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Matches,France
