,Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,
8,Memphis,FW,28.0,3.3,93.0,123.0,75.6,1277.0,233.0,58.0,68.0,85.3,21.0,30.0,70.0,7.0,10.0,70.0,0,0.5,0.4,-0.5,3.0,6.0,2.0,0.0,4.0,Matches,Netherlands
9,Steven Bergwijn,FW,24.0,2.4,64.0,72.0,88.9,679.0,79.0,46.0,51.0,90.2,10.0,11.0,90.9,2.0,3.0,66.7,0,0.0,0.3,0.0,0.0,2.0,1.0,0.0,2.0,Matches,Netherlands
10,Davy Klaassen,"MF,FW",29.0,2.1,59.0,77.0,76.6,752.0,156.0,39.0,48.0,81.3,17.0,23.0,73.9,2.0,2.0,100.0,2,0.3,0.1,1.7,4.0,6.0,1.0,0.0,4.0,Matches,Netherlands
11,Marten de Roon,MF,31.0,2.0,97.0,119.0,81.5,1560.0,332.0,49.0,57.0,86.0,41.0,52.0,78.8,5.0,5.0,100.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,Matches,Netherlands
12,Teun Koopmeiners,MF,24.0,2.4,90.0,119.0,75.6,1448.0,490.0,47.0,53.0,88.7,36.0,42.0,85.7,6.0,11.0,54.5,1,0.2,0.1,0.8,2.0,9.0,0.0,0.0,6.0,Matches,Netherlands
13,Steven Berghuis,MF,30.0,2.2,97.0,131.0,74.0,1789.0,507.0,41.0,51.0,80.4,33.0,44.0,75.0,17.0,24.0,70.8,1,0.1,0.2,0.9,2.0,17.0,2.0,1.0,8.0,Matches,Netherlands
14,Matthijs de Ligt,DF,22.0,1.0,41.0,45.0,91.1,846.0,264.0,14.0,16.0,87.5,18.0,19.0,94.7,9.0,9.0,100.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Matches,Netherlands
15,Vincent Janssen,FW,27.0,1.0,16.0,20.0,80.0,191.0,21.0,11.0,14.0,78.6,4.0,4.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,Matches,Netherlands
16,Wout Weghorst,FW,29.0,0.7,9.0,15.0,60.0,115.0,32.0,4.0,6.0,66.7,2.0,6.0,33.3,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Matches,Netherlands
17,Luuk de Jong,FW,31.0,0.6,8.0,12.0,66.7,116.0,36.0,5.0,6.0,83.3,3.0,3.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,Netherlands
18,Xavi Simons,"FW,MF",19.0,0.1,6.0,10.0,60.0,89.0,36.0,4.0,7.0,57.1,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.1,0.0,0.0,0.0,2.0,0.0,3.0,Matches,Netherlands
19,Noa Lang,MF,22.0,0.1,1.0,3.0,33.3,5.0,6.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands
20,Kenneth Taylor,MF,20.0,0.1,8.0,8.0,100.0,112.0,37.0,6.0,6.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,Netherlands
21,Squad Total,,26.8,5.3,2472.0,2993.0,82.6,41845.0,14660.0,1195.0,1351.0,88.5,993.0,1130.0,87.9,230.0,383.0,60.1,8,2.9,3.5,5.1,33.0,186.0,28.0,6.0,149.0,,Netherlands
22,Opponent Total,,26.4,5.3,2104.0,2642.0,79.6,34258.0,11422.0,1059.0,1188.0,89.1,770.0,897.0,85.8,181.0,364.0,49.7,2,3.9,3.7,-1.9,50.0,116.0,33.0,10.0,112.0,,Netherlands
0,Jordan Pickford,GK,28.0,5.0,126.0,160.0,78.8,3259.0,2161.0,39.0,39.0,100.0,59.0,59.0,100.0,28.0,60.0,46.7,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches,England
1,John Stones,DF,28.0,4.8,435.0,454.0,95.8,8447.0,2913.0,152.0,156.0,97.4,231.0,235.0,98.3,48.0,58.0,82.8,0,0.1,0.1,-0.1,1.0,20.0,0.0,0.0,23.0,Matches,England
2,Harry Maguire,DF,29.0,4.8,354.0,407.0,87.0,7329.0,2340.0,99.0,109.0,90.8,212.0,224.0,94.6,43.0,68.0,63.2,1,0.0,0.1,1.0,1.0,23.0,1.0,0.0,19.0,Matches,England
3,Luke Shaw,DF,26.0,4.7,335.0,400.0,83.8,5392.0,1662.0,165.0,179.0,92.2,144.0,159.0,90.6,20.0,41.0,48.8,1,0.8,0.9,0.2,8.0,23.0,9.0,4.0,31.0,Matches,England
4,Declan Rice,MF,23.0,4.6,300.0,322.0,93.2,5456.0,1141.0,124.0,125.0,99.2,143.0,155.0,92.3,29.0,34.0,85.3,0,0.0,0.1,0.0,1.0,18.0,2.0,0.0,14.0,Matches,England
5,Jude Bellingham,MF,18.0,4.6,235.0,265.0,88.7,3972.0,726.0,111.0,121.0,91.7,101.0,109.0,92.7,20.0,24.0,83.3,1,0.3,0.5,0.7,4.0,18.0,4.0,0.0,14.0,Matches,England
6,Harry Kane,FW,28.0,4.5,62.0,98.0,63.3,1027.0,390.0,33.0,43.0,76.7,24.0,36.0,66.7,5.0,7.0,71.4,3,1.5,0.7,1.5,5.0,12.0,5.0,1.0,16.0,Matches,England
7,Bukayo Saka,FW,20.0,3.2,84.0,108.0,77.8,1281.0,279.0,46.0,59.0,78.0,31.0,35.0,88.6,4.0,6.0,66.7,0,0.7,0.6,-0.7,5.0,3.0,7.0,2.0,8.0,Matches,England
8,Jordan Henderson,MF,31.0,3.0,137.0,163.0,84.0,2244.0,493.0,75.0,81.0,92.6,52.0,61.0,85.2,8.0,15.0,53.3,0,0.3,1.4,-0.3,4.0,11.0,3.0,0.0,13.0,Matches,England
9,Phil Foden,"FW,MF",22.0,2.9,90.0,117.0,76.9,1444.0,292.0,57.0,67.0,85.1,23.0,27.0,85.2,7.0,16.0,43.8,2,0.6,0.4,1.4,6.0,3.0,1.0,0.0,5.0,Matches,England
10,Kyle Walker,DF,32.0,2.6,162.0,181.0,89.5,3151.0,837.0,65.0,68.0,95.6,76.0,83.0,91.6,20.0,28.0,71.4,0,0.0,0.1,0.0,0.0,11.0,2.0,0.0,12.0,Matches,England
11,Kieran Trippier,DF,31.0,2.3,165.0,195.0,84.6,2930.0,762.0,80.0,84.0,95.2,68.0,76.0,89.5,16.0,29.0,55.2,0,0.1,0.2,-0.1,3.0,11.0,2.0,0.0,13.0,Matches,England
12,Mason Mount,MF,23.0,2.1,61.0,73.0,83.6,1031.0,212.0,36.0,42.0,85.7,19.0,22.0,86.4,6.0,7.0,85.7,0,0.0,0.1,0.0,1.0,3.0,1.0,0.0,4.0,Matches,England
13,Raheem Sterling,FW,27.0,1.7,45.0,55.0,81.8,644.0,96.0,21.0,23.0,91.3,21.0,25.0,84.0,0.0,2.0,0.0,1,0.1,0.1,0.9,1.0,2.0,0.0,0.0,2.0,Matches,England
14,Marcus Rashford,FW,24.0,1.6,49.0,66.0,74.2,677.0,91.0,32.0,39.0,82.1,15.0,20.0,75.0,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,England
15,Jack Grealish,FW,26.0,1.0,48.0,54.0,88.9,612.0,103.0,32.0,33.0,97.0,12.0,14.0,85.7,1.0,1.0,100.0,0,0.1,0.2,-0.1,2.0,2.0,4.0,0.0,5.0,Matches,England
16,Callum Wilson,FW,30.0,0.5,9.0,10.0,90.0,121.0,32.0,6.0,6.0,100.0,3.0,4.0,75.0,0.0,0.0,,1,0.9,0.4,0.1,3.0,0.0,3.0,0.0,3.0,Matches,England
17,Kalvin Phillips,MF,26.0,0.5,17.0,19.0,89.5,363.0,97.0,4.0,4.0,100.0,9.0,10.0,90.0,3.0,3.0,100.0,1,0.1,0.0,0.9,1.0,2.0,0.0,0.0,1.0,Matches,England
18,Eric Dier,DF,28.0,0.4,40.0,41.0,97.6,744.0,318.0,13.0,13.0,100.0,24.0,24.0,100.0,3.0,4.0,75.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,England
19,Trent Alexander-Arnold,DF,23.0,0.4,21.0,23.0,91.3,361.0,167.0,8.0,8.0,100.0,13.0,13.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Matches,England
20,Squad Total,,26.1,5.0,2775.0,3211.0,86.4,50485.0,15112.0,1198.0,1299.0,92.2,1280.0,1391.0,92.0,263.0,407.0,64.6,11,5.7,6.0,5.3,46.0,166.0,45.0,7.0,187.0,,England
21,Opponent Total,,26.5,5.0,1452.0,1872.0,77.6,26268.0,8931.0,651.0,733.0,88.8,599.0,700.0,85.6,160.0,322.0,49.7,3,3.1,2.7,-0.1,35.0,95.0,23.0,8.0,69.0,,England
0,Marquinhos,DF,28.0,4.7,352.0,368.0,95.7,6124.0,1913.0,139.0,140.0,99.3,197.0,204.0,96.6,12.0,18.0,66.7,0,0.8,1.1,-0.8,4.0,36.0,3.0,1.0,18.0,Matches,Brazil
1,Casemiro,MF,30.0,4.3,208.0,251.0,82.9,3591.0,1065.0,90.0,107.0,84.1,95.0,104.0,91.3,17.0,27.0,63.0,0,0.1,0.4,-0.1,4.0,23.0,3.0,1.0,21.0,Matches,Brazil
2,Thiago Silva,DF,37.0,4.3,322.0,344.0,93.6,6145.0,2410.0,115.0,120.0,95.8,174.0,181.0,96.1,32.0,39.0,82.1,1,0.9,0.6,0.1,4.0,15.0,3.0,1.0,15.0,Matches,Brazil
3,Alisson,GK,29.0,4.2,80.0,93.0,86.0,1590.0,999.0,31.0,31.0,100.0,39.0,41.0,95.1,10.0,20.0,50.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Brazil
4,Éder Militão,DF,24.0,3.9,251.0,277.0,90.6,4346.0,1514.0,112.0,115.0,97.4,111.0,122.0,91.0,21.0,31.0,67.7,0,0.0,0.1,0.0,1.0,20.0,1.0,1.0,12.0,Matches,Brazil
5,Richarlison,FW,25.0,3.6,40.0,58.0,69.0,496.0,89.0,25.0,33.0,75.8,11.0,16.0,68.8,1.0,2.0,50.0,0,1.0,0.4,-1.0,6.0,2.0,3.0,0.0,3.0,Matches,Brazil
6,Raphinha,FW,25.0,3.5,111.0,150.0,74.0,1916.0,435.0,53.0,59.0,89.8,43.0,59.0,72.9,12.0,22.0,54.5,1,1.3,0.9,-0.3,8.0,5.0,5.0,1.0,11.0,Matches,Brazil
7,Lucas Paquetá,MF,24.0,3.5,169.0,202.0,83.7,2578.0,622.0,81.0,93.0,87.1,69.0,77.0,89.6,10.0,15.0,66.7,1,1.5,0.6,-0.5,6.0,16.0,9.0,1.0,15.0,Matches,Brazil
8,Vinicius Júnior,FW,21.0,3.3,68.0,90.0,75.6,853.0,146.0,46.0,52.0,88.5,20.0,28.0,71.4,1.0,4.0,25.0,2,0.7,0.8,1.3,8.0,5.0,3.0,0.0,3.0,Matches,Brazil
9,Danilo,DF,30.0,3.1,230.0,269.0,85.5,3615.0,986.0,120.0,128.0,93.8,100.0,115.0,87.0,7.0,21.0,33.3,0,0.0,0.2,0.0,0.0,21.0,2.0,1.0,16.0,Matches,Brazil
10,Neymar,MF,30.0,3.1,121.0,153.0,79.1,1795.0,627.0,62.0,76.0,81.6,45.0,53.0,84.9,7.0,13.0,53.8,0,0.8,0.5,-0.8,6.0,16.0,4.0,0.0,14.0,Matches,Brazil
11,Alex Sandro,DF,31.0,2.1,150.0,169.0,88.8,2171.0,680.0,89.0,93.0,95.7,53.0,61.0,86.9,5.0,11.0,45.5,0,0.1,0.2,-0.1,1.0,11.0,2.0,1.0,11.0,Matches,Brazil
12,Fred,MF,29.0,1.6,71.0,83.0,85.5,1108.0,338.0,40.0,45.0,88.9,23.0,29.0,79.3,6.0,6.0,100.0,0,0.2,0.2,-0.2,4.0,6.0,4.0,0.0,11.0,Matches,Brazil
13,Rodrygo,"MF,FW",21.0,2.0,91.0,113.0,80.5,1201.0,240.0,53.0,61.0,86.9,28.0,34.0,82.4,4.0,10.0,40.0,1,0.4,0.6,0.6,6.0,4.0,3.0,0.0,7.0,Matches,Brazil
14,Antony,FW,22.0,1.9,86.0,109.0,78.9,1109.0,224.0,56.0,62.0,90.3,19.0,26.0,73.1,4.0,10.0,40.0,0,0.1,0.2,-0.1,3.0,2.0,2.0,0.0,5.0,Matches,Brazil
15,Dani Alves,DF,39.0,1.3,83.0,97.0,85.6,1128.0,429.0,55.0,58.0,94.8,20.0,27.0,74.1,4.0,8.0,50.0,0,0.0,0.1,0.0,0.0,7.0,3.0,1.0,5.0,Matches,Brazil
16,Martinelli,FW,20.0,1.3,34.0,45.0,75.6,471.0,103.0,22.0,28.0,78.6,11.0,13.0,84.6,0.0,2.0,0.0,0,0.2,0.3,-0.2,3.0,3.0,2.0,1.0,2.0,Matches,Brazil
17,Gleison Bremer,DF,25.0,1.2,78.0,84.0,92.9,1445.0,438.0,20.0,22.0,90.9,55.0,57.0,96.5,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,Brazil
18,Gabriel Jesus,FW,25.0,1.0,22.0,28.0,78.6,297.0,130.0,13.0,14.0,92.9,6.0,7.0,85.7,2.0,2.0,100.0,0,0.2,0.1,-0.2,4.0,3.0,2.0,0.0,5.0,Matches,Brazil
19,Ederson,GK,28.0,1.0,28.0,31.0,90.3,728.0,547.0,4.0,4.0,100.0,17.0,19.0,89.5,7.0,8.0,87.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brazil
20,Fabinho,MF,28.0,1.0,51.0,57.0,89.5,896.0,326.0,25.0,26.0,96.2,19.0,22.0,86.4,7.0,7.0,100.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,Matches,Brazil
21,Alex Telles,DF,29.0,0.7,33.0,42.0,78.6,507.0,135.0,15.0,17.0,88.2,15.0,18.0,83.3,1.0,5.0,20.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Matches,Brazil
22,Bruno Guimarães,MF,24.0,0.8,43.0,54.0,79.6,663.0,251.0,23.0,25.0,92.0,13.0,16.0,81.3,5.0,7.0,71.4,0,0.0,0.3,0.0,0.0,3.0,0.0,0.0,4.0,Matches,Brazil
23,Pedro,FW,24.0,0.7,10.0,13.0,76.9,100.0,10.0,6.0,9.0,66.7,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brazil
24,Everton Ribeiro,MF,33.0,0.4,15.0,18.0,83.3,210.0,67.0,10.0,12.0,83.3,5.0,5.0,100.0,0.0,1.0,0.0,0,0.1,0.1,-0.1,2.0,2.0,1.0,1.0,2.0,Matches,Brazil
25,Wéverton,GK,34.0,0.1,3.0,5.0,60.0,145.0,126.0,0.0,0.0,,0.0,0.0,,3.0,5.0,60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brazil
26,Squad Total,,27.6,5.3,2750.0,3203.0,85.9,45228.0,14850.0,1305.0,1430.0,91.3,1190.0,1336.0,89.1,180.0,297.0,60.6,6,8.2,7.9,-2.2,70.0,209.0,55.0,11.0,189.0,,Brazil
27,Opponent Total,,27.5,5.3,2124.0,2585.0,82.2,37248.0,12851.0,1034.0,1128.0,91.7,831.0,968.0,85.8,210.0,349.0,60.2,2,1.8,2.0,0.2,29.0,159.0,21.0,5.0,124.0,,Brazil
0,Diogo Costa,GK,22.0,5.0,113.0,160.0,70.6,2890.0,2021.0,20.0,20.0,100.0,64.0,65.0,98.5,29.0,72.0,40.3,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,Matches,Portugal
1,Rúben Dias,DF,25.0,4.0,248.0,274.0,90.5,4633.0,1508.0,85.0,89.0,95.5,138.0,145.0,95.2,22.0,35.0,62.9,0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,11.0,Matches,Portugal
2,Pepe,DF,39.0,4.0,243.0,295.0,82.4,4602.0,1638.0,109.0,119.0,91.6,108.0,122.0,88.5,26.0,49.0,53.1,0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,10.0,Matches,Portugal
3,Bruno Fernandes,"FW,MF",27.0,4.0,188.0,233.0,80.7,3623.0,1060.0,101.0,109.0,92.7,49.0,56.0,87.5,34.0,54.0,63.0,3,1.7,1.2,1.3,9.0,17.0,9.0,2.0,23.0,Matches,Portugal
4,Bernardo Silva,MF,27.0,4.0,256.0,292.0,87.7,4147.0,777.0,143.0,153.0,93.5,87.0,92.0,94.6,20.0,30.0,66.7,0,0.4,0.3,-0.4,5.0,16.0,1.0,0.0,12.0,Matches,Portugal
5,João Félix,FW,22.0,3.7,91.0,122.0,74.6,1335.0,254.0,55.0,69.0,79.7,30.0,37.0,81.1,5.0,9.0,55.6,2,0.4,0.2,1.6,3.0,7.0,3.0,0.0,7.0,Matches,Portugal
6,Rúben Neves,MF,25.0,3.0,235.0,257.0,91.4,4772.0,1089.0,84.0,84.0,100.0,112.0,118.0,94.9,37.0,46.0,80.4,0,0.0,0.1,0.0,2.0,23.0,2.0,0.0,13.0,Matches,Portugal
7,João Cancelo,DF,28.0,3.4,221.0,271.0,81.5,3800.0,864.0,123.0,138.0,89.1,72.0,87.0,82.8,24.0,35.0,68.6,0,0.0,0.2,0.0,0.0,10.0,6.0,5.0,12.0,Matches,Portugal
8,Cristiano Ronaldo,FW,37.0,3.2,68.0,90.0,75.6,789.0,98.0,49.0,55.0,89.1,13.0,21.0,61.9,1.0,1.0,100.0,0,0.1,0.1,-0.1,4.0,3.0,1.0,0.0,4.0,Matches,Portugal
9,Raphaël Guerreiro,DF,28.0,3.1,156.0,185.0,84.3,2301.0,856.0,87.0,95.0,91.6,56.0,68.0,82.4,8.0,14.0,57.1,2,0.6,0.7,1.4,6.0,9.0,4.0,2.0,14.0,Matches,Portugal
10,Diogo Dalot,DF,23.0,2.9,112.0,147.0,76.2,2152.0,522.0,52.0,60.0,86.7,40.0,50.0,80.0,17.0,29.0,58.6,2,0.7,0.4,1.3,4.0,7.0,4.0,1.0,7.0,Matches,Portugal
11,Otávio,MF,27.0,2.2,98.0,127.0,77.2,1532.0,414.0,55.0,64.0,85.9,27.0,37.0,73.0,10.0,16.0,62.5,0,0.4,0.5,-0.4,4.0,10.0,7.0,2.0,12.0,Matches,Portugal
12,William Carvalho,MF,30.0,2.4,156.0,170.0,91.8,2574.0,869.0,81.0,85.0,95.3,64.0,67.0,95.5,9.0,13.0,69.2,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,Matches,Portugal
13,Gonçalo Ramos,"FW,MF",20.0,1.7,25.0,31.0,80.6,315.0,57.0,17.0,20.0,85.0,8.0,9.0,88.9,0.0,0.0,,1,0.4,0.1,0.6,2.0,1.0,2.0,0.0,2.0,Matches,Portugal
14,Vitinha,MF,22.0,1.3,100.0,108.0,92.6,1762.0,378.0,51.0,54.0,94.4,36.0,39.0,92.3,12.0,13.0,92.3,0,0.0,0.1,0.0,1.0,15.0,2.0,0.0,9.0,Matches,Portugal
15,Ricardo Horta,FW,27.0,1.3,31.0,46.0,67.4,368.0,54.0,18.0,21.0,85.7,9.0,18.0,50.0,0.0,2.0,0.0,0,0.1,0.1,-0.1,1.0,1.0,1.0,0.0,2.0,Matches,Portugal
16,Danilo Pereira,DF,30.0,1.0,68.0,78.0,87.2,1342.0,488.0,25.0,26.0,96.2,35.0,37.0,94.6,8.0,12.0,66.7,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,Matches,Portugal
17,António Silva,DF,18.0,1.0,60.0,62.0,96.8,1152.0,310.0,26.0,26.0,100.0,22.0,23.0,95.7,10.0,11.0,90.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Matches,Portugal
18,João Mário,"FW,MF",29.0,0.9,37.0,40.0,92.5,516.0,92.0,22.0,23.0,95.7,9.0,10.0,90.0,3.0,3.0,100.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Matches,Portugal
19,Matheus Nunes,MF,23.0,0.8,28.0,33.0,84.8,534.0,94.0,14.0,16.0,87.5,9.0,9.0,100.0,5.0,7.0,71.4,0,0.1,0.0,-0.1,1.0,2.0,0.0,0.0,0.0,Matches,Portugal
20,Nuno Mendes,DF,19.0,0.5,29.0,32.0,90.6,475.0,197.0,17.0,17.0,100.0,8.0,10.0,80.0,3.0,4.0,75.0,0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,Matches,Portugal
21,Rafael Leão,FW,23.0,1.0,32.0,47.0,68.1,412.0,92.0,21.0,23.0,91.3,7.0,13.0,53.8,2.0,7.0,28.6,0,0.2,0.2,-0.2,1.0,0.0,1.0,1.0,3.0,Matches,Portugal
22,João Palhinha,MF,26.0,0.4,26.0,31.0,83.9,442.0,125.0,11.0,11.0,100.0,11.0,13.0,84.6,3.0,6.0,50.0,0,0.1,0.0,-0.1,2.0,1.0,0.0,0.0,1.0,Matches,Portugal
23,André Silva,FW,26.0,0.3,9.0,11.0,81.8,148.0,27.0,5.0,7.0,71.4,3.0,3.0,100.0,1.0,1.0,100.0,0,0.1,0.0,-0.1,2.0,1.0,0.0,0.0,1.0,Matches,Portugal
24,Squad Total,,26.9,5.0,2630.0,3142.0,83.7,46616.0,13884.0,1271.0,1384.0,91.8,1017.0,1149.0,88.5,289.0,469.0,61.6,10,5.2,4.5,4.8,49.0,173.0,44.0,14.0,164.0,,Portugal
25,Opponent Total,,27.3,5.0,1573.0,2048.0,76.8,27917.0,10743.0,706.0,799.0,88.4,657.0,798.0,82.3,167.0,332.0,50.3,2,3.9,2.2,-1.9,39.0,98.0,27.0,7.0,107.0,,Portugal
0,Shūichi Gonda,GK,33.0,4.3,68.0,113.0,60.2,1770.0,1301.0,20.0,20.0,100.0,32.0,33.0,97.0,16.0,59.0,27.1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Japan
1,Maya Yoshida,DF,33.0,4.3,198.0,232.0,85.3,3969.0,1370.0,64.0,69.0,92.8,108.0,114.0,94.7,25.0,45.0,55.6,1,0.4,0.0,0.6,1.0,3.0,0.0,0.0,6.0,Matches,Japan
2,Daichi Kamada,"FW,MF",25.0,3.6,83.0,104.0,79.8,1464.0,313.0,45.0,51.0,88.2,28.0,34.0,82.4,9.0,14.0,64.3,0,0.0,0.2,0.0,1.0,13.0,2.0,0.0,6.0,Matches,Japan
3,Yuto Nagatomo,"MF,DF",35.0,2.3,78.0,109.0,71.6,1171.0,383.0,51.0,57.0,89.5,22.0,31.0,71.0,3.0,14.0,21.4,0,0.1,0.1,-0.1,1.0,7.0,2.0,2.0,2.0,Matches,Japan
4,Junya Ito,"MF,FW",29.0,3.6,59.0,97.0,60.8,752.0,288.0,40.0,52.0,76.9,16.0,22.0,72.7,1.0,12.0,8.3,1,0.2,0.1,0.8,5.0,2.0,2.0,1.0,5.0,Matches,Japan
5,Wataru Endo,MF,29.0,3.4,155.0,192.0,80.7,2423.0,599.0,80.0,86.0,93.0,64.0,77.0,83.1,7.0,16.0,43.8,0,0.5,0.4,-0.5,4.0,12.0,2.0,1.0,9.0,Matches,Japan
6,Hidemasa Morita,MF,27.0,3.2,129.0,157.0,82.2,2180.0,695.0,68.0,79.0,86.1,47.0,58.0,81.0,12.0,16.0,75.0,0,0.1,0.1,-0.1,2.0,14.0,2.0,1.0,11.0,Matches,Japan
7,Ko Itakura,DF,25.0,3.0,98.0,111.0,88.3,1860.0,494.0,32.0,35.0,91.4,55.0,59.0,93.2,11.0,15.0,73.3,1,0.1,0.0,0.9,1.0,7.0,0.0,0.0,1.0,Matches,Japan
8,Daizen Maeda,FW,24.0,2.0,8.0,17.0,47.1,121.0,10.0,3.0,9.0,33.3,5.0,8.0,62.5,0.0,0.0,,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Japan
9,Ritsu Doan,FW,23.0,2.4,36.0,56.0,64.3,625.0,195.0,22.0,28.0,78.6,7.0,11.0,63.6,6.0,10.0,60.0,0,0.2,0.4,-0.2,3.0,2.0,2.0,1.0,5.0,Matches,Japan
10,Shogo Taniguchi,DF,30.0,2.3,72.0,85.0,84.7,1299.0,480.0,40.0,42.0,95.2,23.0,27.0,85.2,9.0,14.0,64.3,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,Matches,Japan
11,Ao Tanaka,MF,23.0,1.9,48.0,69.0,69.6,846.0,220.0,17.0,26.0,65.4,24.0,31.0,77.4,5.0,10.0,50.0,0,0.1,0.4,-0.1,1.0,2.0,3.0,1.0,6.0,Matches,Japan
12,Takefusa Kubo,FW,21.0,1.0,6.0,11.0,54.5,87.0,23.0,4.0,6.0,66.7,2.0,5.0,40.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Matches,Japan
13,Takehiro Tomiyasu,"DF,MF",23.0,2.1,73.0,103.0,70.9,1188.0,500.0,36.0,43.0,83.7,32.0,41.0,78.0,4.0,18.0,22.2,0,0.2,0.1,-0.2,3.0,6.0,2.0,0.0,4.0,Matches,Japan
14,Hiroki Sakai,"MF,DF",32.0,1.3,28.0,47.0,59.6,540.0,288.0,9.0,11.0,81.8,14.0,21.0,66.7,4.0,9.0,44.4,0,0.1,0.1,-0.1,1.0,4.0,1.0,0.0,6.0,Matches,Japan
15,Yuki Soma,"FW,MF",25.0,0.9,11.0,19.0,57.9,167.0,77.0,8.0,8.0,100.0,2.0,3.0,66.7,1.0,7.0,14.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,Japan
16,Miki Yamane,"DF,MF",28.0,0.7,24.0,33.0,72.7,371.0,164.0,12.0,12.0,100.0,11.0,17.0,64.7,1.0,2.0,50.0,0,0.1,0.1,-0.1,1.0,4.0,2.0,0.0,5.0,Matches,Japan
17,Ayase Ueda,FW,23.0,0.5,7.0,12.0,58.3,89.0,11.0,5.0,8.0,62.5,2.0,4.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Matches,Japan
18,Takuma Asano,FW,27.0,1.8,21.0,28.0,75.0,227.0,44.0,12.0,15.0,80.0,4.0,6.0,66.7,1.0,1.0,100.0,0,0.2,0.0,-0.2,2.0,3.0,0.0,0.0,0.0,Matches,Japan
19,Kaoru Mitoma,MF,25.0,1.8,50.0,70.0,71.4,723.0,150.0,31.0,39.0,79.5,13.0,18.0,72.2,4.0,8.0,50.0,1,1.2,0.4,-0.2,3.0,1.0,2.0,0.0,3.0,Matches,Japan
20,Takumi Minamino,FW,27.0,0.7,14.0,22.0,63.6,200.0,34.0,9.0,11.0,81.8,4.0,5.0,80.0,1.0,5.0,20.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Matches,Japan
21,Hiroki Ito,DF,23.0,0.5,58.0,63.0,92.1,1007.0,257.0,28.0,28.0,100.0,25.0,27.0,92.6,5.0,8.0,62.5,0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0,Matches,Japan
22,Squad Total,,28.0,4.3,1324.0,1750.0,75.7,23079.0,7896.0,636.0,735.0,86.5,540.0,652.0,82.8,125.0,283.0,44.2,4,3.5,2.5,0.5,31.0,101.0,24.0,8.0,79.0,,Japan
23,Opponent Total,,27.6,4.3,2743.0,3216.0,85.3,47276.0,13091.0,1190.0,1306.0,91.1,1269.0,1396.0,90.9,220.0,358.0,61.5,3,3.0,4.0,0.0,40.0,179.0,45.0,14.0,136.0,,Japan
