,Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,
10,Diogo Dalot,DF,23.0,2.9,0,0,0,1,1,0,9,2,6,0.0,0.0,0,13.0,6.0,3.0,66.7,Matches,Portugal
11,Otávio,MF,27.0,2.2,0,0,0,6,10,0,5,1,7,0.0,0.0,0,16.0,1.0,1.0,50.0,Matches,Portugal
12,William Carvalho,MF,30.0,2.4,0,0,0,3,2,0,0,0,5,0.0,0.0,0,15.0,4.0,0.0,100.0,Matches,Portugal
13,Gonçalo Ramos,"FW,MF",20.0,1.7,0,0,0,2,3,3,0,0,1,0.0,0.0,0,2.0,4.0,6.0,40.0,Matches,Portugal
14,Vitinha,MF,22.0,1.3,1,0,0,1,3,0,2,1,2,0.0,0.0,0,4.0,0.0,1.0,0.0,Matches,Portugal
15,Ricardo Horta,FW,27.0,1.3,0,0,0,3,1,0,5,1,1,0.0,0.0,0,6.0,0.0,1.0,0.0,Matches,Portugal
16,Danilo Pereira,DF,30.0,1.0,1,0,0,1,2,0,0,3,2,0.0,0.0,0,4.0,5.0,1.0,83.3,Matches,Portugal
17,António Silva,DF,18.0,1.0,0,0,0,2,0,0,0,1,1,0.0,0.0,0,4.0,2.0,4.0,33.3,Matches,Portugal
18,João Mário,"FW,MF",29.0,0.9,0,0,0,0,0,0,2,0,1,0.0,0.0,0,5.0,0.0,2.0,0.0,Matches,Portugal
19,Matheus Nunes,MF,23.0,0.8,0,0,0,2,2,0,3,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Portugal
20,Nuno Mendes,DF,19.0,0.5,0,0,0,0,2,0,2,2,0,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,Portugal
21,Rafael Leão,FW,23.0,1.0,0,0,0,3,1,0,6,1,0,0.0,0.0,0,5.0,1.0,0.0,100.0,Matches,Portugal
22,João Palhinha,MF,26.0,0.4,0,0,0,2,0,0,0,1,1,0.0,0.0,0,5.0,0.0,3.0,0.0,Matches,Portugal
23,André Silva,FW,26.0,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,2.0,33.3,Matches,Portugal
24,Squad Total,,26.9,5.0,6,0,0,55,65,14,102,35,44,1.0,0.0,0,256.0,66.0,53.0,55.5,,Portugal
25,Opponent Total,,27.3,5.0,13,1,1,69,55,7,63,40,32,0.0,2.0,0,243.0,53.0,66.0,44.5,,Portugal
0,Shūichi Gonda,GK,33.0,4.3,0,0,0,1,0,0,0,0,0,0.0,1.0,0,1.0,1.0,0.0,100.0,Matches,Japan
1,Maya Yoshida,DF,33.0,4.3,1,0,0,3,4,0,0,3,4,0.0,0.0,0,30.0,10.0,7.0,58.8,Matches,Japan
2,Daichi Kamada,"FW,MF",25.0,3.6,0,0,0,1,1,3,5,0,3,0.0,0.0,0,10.0,3.0,2.0,60.0,Matches,Japan
3,Yuto Nagatomo,"MF,DF",35.0,2.3,0,0,0,6,0,0,6,0,2,0.0,0.0,0,11.0,1.0,2.0,33.3,Matches,Japan
4,Junya Ito,"MF,FW",29.0,3.6,0,0,0,0,5,1,14,5,4,0.0,0.0,0,17.0,3.0,6.0,33.3,Matches,Japan
5,Wataru Endo,MF,29.0,3.4,1,0,0,7,9,0,2,3,4,0.0,0.0,0,22.0,8.0,8.0,50.0,Matches,Japan
6,Hidemasa Morita,MF,27.0,3.2,0,0,0,4,1,0,3,3,0,0.0,0.0,0,21.0,5.0,7.0,41.7,Matches,Japan
7,Ko Itakura,DF,25.0,3.0,2,0,0,5,0,0,0,4,5,0.0,0.0,0,13.0,0.0,2.0,0.0,Matches,Japan
8,Daizen Maeda,FW,24.0,2.0,0,0,0,2,3,2,0,3,2,0.0,0.0,0,4.0,1.0,6.0,14.3,Matches,Japan
9,Ritsu Doan,FW,23.0,2.4,0,0,0,3,4,0,9,3,5,0.0,0.0,0,11.0,1.0,4.0,20.0,Matches,Japan
10,Shogo Taniguchi,DF,30.0,2.3,1,0,0,3,0,0,0,1,0,0.0,0.0,0,8.0,8.0,3.0,72.7,Matches,Japan
11,Ao Tanaka,MF,23.0,1.9,0,0,0,1,1,0,2,3,1,0.0,0.0,0,9.0,3.0,1.0,75.0,Matches,Japan
12,Takefusa Kubo,FW,21.0,1.0,0,0,0,2,2,1,0,0,1,0.0,0.0,0,4.0,1.0,1.0,50.0,Matches,Japan
13,Takehiro Tomiyasu,"DF,MF",23.0,2.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,12.0,6.0,4.0,60.0,Matches,Japan
14,Hiroki Sakai,"MF,DF",32.0,1.3,0,0,0,3,1,0,2,1,4,0.0,0.0,0,6.0,3.0,8.0,27.3,Matches,Japan
15,Yuki Soma,"FW,MF",25.0,0.9,0,0,0,2,3,0,6,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,Japan
16,Miki Yamane,"DF,MF",28.0,0.7,1,0,0,2,1,0,2,2,0,0.0,0.0,0,5.0,0.0,1.0,0.0,Matches,Japan
17,Ayase Ueda,FW,23.0,0.5,0,0,0,1,0,0,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,Matches,Japan
18,Takuma Asano,FW,27.0,1.8,0,0,0,4,0,2,1,1,0,0.0,0.0,0,8.0,1.0,9.0,10.0,Matches,Japan
19,Kaoru Mitoma,MF,25.0,1.8,0,0,0,3,1,0,0,2,2,0.0,0.0,0,17.0,2.0,3.0,40.0,Matches,Japan
20,Takumi Minamino,FW,27.0,0.7,0,0,0,1,0,0,3,0,1,0.0,0.0,0,4.0,0.0,2.0,0.0,Matches,Japan
21,Hiroki Ito,DF,23.0,0.5,0,0,0,3,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,Japan
22,Squad Total,,28.0,4.3,6,0,0,58,36,9,55,34,38,0.0,1.0,0,220.0,59.0,76.0,43.7,,Japan
23,Opponent Total,,27.6,4.3,5,0,0,37,55,8,88,20,39,1.0,0.0,0,206.0,76.0,59.0,56.3,,Japan
0,Kalidou Koulibaly,DF,30.0,4.0,1,0,0,3,3,0,0,2,9,0.0,0.0,0,28.0,11.0,5.0,68.8,Matches,Senegal
1,Edouard Mendy,GK,30.0,4.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,3.0,1.0,75.0,Matches,Senegal
2,Youssouf Sabaly,DF,29.0,4.0,0,0,0,3,12,0,7,4,6,0.0,0.0,0,27.0,4.0,3.0,57.1,Matches,Senegal
3,Ismaila Sarr,"FW,MF",24.0,3.8,0,0,0,3,17,3,8,2,2,1.0,0.0,0,17.0,8.0,8.0,50.0,Matches,Senegal
4,Abdou Diallo,DF,26.0,3.7,0,0,0,3,0,0,3,1,2,0.0,0.0,0,17.0,7.0,6.0,53.8,Matches,Senegal
5,Boulaye Dia,FW,25.0,3.5,1,0,0,3,3,2,1,1,0,0.0,0.0,0,7.0,5.0,7.0,41.7,Matches,Senegal
6,Ismail Jakobs,DF,22.0,3.1,1,0,0,3,6,0,18,4,0,0.0,0.0,0,9.0,8.0,3.0,72.7,Matches,Senegal
7,Nampalys Mendy,MF,29.0,3.0,1,0,0,5,2,0,2,3,4,0.0,0.0,0,18.0,0.0,1.0,0.0,Matches,Senegal
8,Idrissa Gana Gueye,MF,32.0,3.0,2,0,0,4,1,0,15,5,1,0.0,0.0,0,15.0,2.0,3.0,40.0,Matches,Senegal
9,Krépin Diatta,"FW,MF",23.0,2.0,0,0,0,4,2,2,4,0,0,0.0,0.0,0,11.0,2.0,1.0,66.7,Matches,Senegal
10,Pathé Ciss,MF,28.0,1.6,1,0,0,4,0,0,0,2,3,0.0,0.0,0,10.0,5.0,0.0,100.0,Matches,Senegal
11,Iliman Ndiaye,"FW,MF",22.0,1.5,0,0,0,0,1,0,2,1,0,0.0,0.0,0,4.0,0.0,3.0,0.0,Matches,Senegal
12,Pape Gueye,MF,23.0,1.7,0,0,0,3,3,0,1,2,2,0.0,0.0,0,5.0,5.0,3.0,62.5,Matches,Senegal
13,Pape Abou Cissé,DF,26.0,1.2,0,0,0,1,0,0,0,2,0,0.0,0.0,0,2.0,2.0,3.0,40.0,Matches,Senegal
14,Famara Diedhiou,FW,29.0,1.0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,3.0,5.0,4.0,55.6,Matches,Senegal
15,Cheikhou Kouyaté,MF,32.0,0.8,0,0,0,1,1,0,2,2,0,0.0,0.0,0,5.0,1.0,2.0,33.3,Matches,Senegal
16,Bamba Dieng,FW,22.0,1.1,0,0,0,5,3,0,1,0,1,0.0,0.0,0,4.0,2.0,8.0,20.0,Matches,Senegal
17,Pape Matar Sarr,MF,19.0,0.7,0,0,0,0,1,0,5,0,2,0.0,0.0,0,3.0,1.0,0.0,100.0,Matches,Senegal
18,Nicolas Jackson,FW,20.0,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,3.0,0.0,2.0,0.0,Matches,Senegal
19,Fodé Ballo-Touré,DF,25.0,0.1,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches,Senegal
20,Squad Total,,26.9,4.0,7,0,0,48,57,8,71,31,32,1.0,0.0,0,192.0,72.0,63.0,53.3,,Senegal
21,Opponent Total,,26.5,4.0,4,0,0,59,43,5,81,32,41,0.0,1.0,0,175.0,63.0,72.0,46.7,,Senegal
0,Aziz Behich,DF,31.0,4.0,1,0,0,3,3,0,5,3,3,0.0,0.0,0,22.0,2.0,2.0,50.0,Matches,Australia
1,Aaron Mooy,MF,31.0,4.0,1,0,0,4,1,0,10,3,6,0.0,0.0,0,35.0,2.0,3.0,40.0,Matches,Australia
2,Kye Rowles,DF,23.0,4.0,0,0,0,1,2,0,0,7,2,0.0,0.0,0,12.0,4.0,2.0,66.7,Matches,Australia
3,Mathew Ryan,GK,30.0,4.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,Australia
4,Harry Souttar,DF,23.0,4.0,0,0,0,1,1,0,0,6,0,0.0,0.0,0,17.0,14.0,7.0,66.7,Matches,Australia
5,Jackson Irvine,"MF,FW",29.0,3.9,2,0,0,7,2,0,2,3,2,0.0,0.0,0,11.0,9.0,7.0,56.3,Matches,Australia
6,Mathew Leckie,"MF,FW",31.0,3.7,0,0,0,8,6,0,4,1,4,0.0,0.0,0,15.0,14.0,10.0,58.3,Matches,Australia
7,Mitchell Duke,FW,31.0,3.0,1,0,0,6,3,1,1,2,0,0.0,0.0,0,11.0,11.0,12.0,47.8,Matches,Australia
8,Riley McGree,"FW,MF",23.0,2.9,0,0,0,9,2,0,5,5,1,0.0,0.0,0,11.0,1.0,2.0,33.3,Matches,Australia
9,Craig Goodwin,MF,30.0,2.6,0,0,0,1,2,0,18,0,3,0.0,0.0,0,14.0,1.0,5.0,16.7,Matches,Australia
10,Miloš Degenek,DF,28.0,2.0,2,0,0,2,8,0,1,1,4,0.0,0.0,0,15.0,6.0,1.0,85.7,Matches,Australia
11,Keanu Baccus,MF,24.0,1.3,0,0,0,4,1,0,0,2,1,0.0,0.0,0,11.0,1.0,3.0,25.0,Matches,Australia
12,Fran Karačić,DF,26.0,1.0,0,0,0,3,0,0,5,2,1,0.0,0.0,0,9.0,4.0,4.0,50.0,Matches,Australia
13,Nathaniel Atkinson,DF,23.0,0.9,0,0,0,0,0,0,0,1,3,0.0,0.0,0,6.0,0.0,0.0,,Matches,Australia
14,Ajdin Hrustic,"MF,FW",25.0,0.7,0,0,0,1,2,0,1,1,0,0.0,0.0,0,3.0,0.0,2.0,0.0,Matches,Australia
15,Jamie Maclaren,FW,28.0,0.6,0,0,0,1,0,0,2,1,0,0.0,0.0,0,1.0,1.0,4.0,20.0,Matches,Australia
16,Garang Kuol,"FW,MF",17.0,0.4,0,0,0,1,0,0,0,1,0,0.0,0.0,0,0.0,1.0,2.0,33.3,Matches,Australia
17,Jason Cummings,FW,26.0,0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches,Australia
18,Awer Mabil,MF,26.0,0.3,0,0,0,0,0,0,0,1,0,0.0,0.0,0,2.0,0.0,2.0,0.0,Matches,Australia
19,Bailey Wright,DF,29.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,3.0,25.0,Matches,Australia
20,Squad Total,,27.8,4.0,7,0,0,52,34,1,54,40,30,0.0,0.0,0,200.0,72.0,72.0,50.0,,Australia
21,Opponent Total,,27.0,4.0,4,0,0,39,48,9,83,34,35,0.0,0.0,1,237.0,72.0,72.0,50.0,,Australia
0,Manuel Akanji,DF,26.0,4.0,1,0,0,4,1,0,1,3,2,0.0,0.0,0,18.0,9.0,2.0,81.8,Matches,Switzerland
1,Granit Xhaka,MF,29.0,4.0,1,0,0,5,4,0,0,2,4,0.0,0.0,0,21.0,7.0,5.0,58.3,Matches,Switzerland
2,Ricardo Rodríguez,DF,29.0,4.0,0,0,0,6,2,0,12,0,2,0.0,0.0,0,16.0,10.0,2.0,83.3,Matches,Switzerland
3,Breel Embolo,FW,25.0,3.6,0,0,0,3,12,2,0,0,0,0.0,0.0,0,6.0,2.0,8.0,20.0,Matches,Switzerland
4,Remo Freuler,MF,30.0,3.6,0,0,0,6,2,0,0,3,5,0.0,0.0,0,19.0,1.0,4.0,20.0,Matches,Switzerland
5,Ruben Vargas,FW,23.0,3.2,1,0,0,4,2,1,15,1,0,0.0,0.0,0,11.0,3.0,6.0,33.3,Matches,Switzerland
6,Djibril Sow,MF,25.0,2.9,0,0,0,2,7,0,1,2,1,0.0,0.0,0,9.0,1.0,2.0,33.3,Matches,Switzerland
7,Yann Sommer,GK,33.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5.0,0.0,1.0,0.0,Matches,Switzerland
8,Silvan Widmer,DF,29.0,2.9,1,0,0,4,2,0,2,2,6,0.0,0.0,0,13.0,3.0,1.0,75.0,Matches,Switzerland
9,Xherdan Shaqiri,"FW,MF",30.0,2.5,0,0,0,2,6,0,15,0,0,0.0,0.0,0,6.0,1.0,4.0,20.0,Matches,Switzerland
10,Nico Elvedi,DF,25.0,2.0,1,0,0,3,1,0,0,1,0,0.0,0.0,0,15.0,2.0,3.0,40.0,Matches,Switzerland
11,Fabian Schär,DF,30.0,1.5,2,0,0,1,2,0,0,2,1,0.0,0.0,0,7.0,4.0,4.0,50.0,Matches,Switzerland
12,Edimilson Fernandes,"FW,DF",26.0,1.6,0,0,0,1,1,1,5,2,1,0.0,0.0,0,14.0,0.0,1.0,0.0,Matches,Switzerland
13,Gregor Kobel,GK,24.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,Switzerland
14,Fabian Rieder,FW,20.0,0.8,1,0,0,4,2,0,1,0,2,0.0,0.0,0,4.0,0.0,1.0,0.0,Matches,Switzerland
15,Haris Seferović,FW,30.0,0.8,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches,Switzerland
16,Denis Zakaria,MF,25.0,0.7,0,0,0,1,2,0,0,3,0,0.0,0.0,0,5.0,1.0,2.0,33.3,Matches,Switzerland
17,Eray Cömert,DF,24.0,0.5,1,0,0,3,1,0,0,2,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,Switzerland
18,Noah Okafor,"FW,MF",22.0,0.5,0,0,0,2,1,1,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,Switzerland
19,Renato Steffen,FW,30.0,0.4,0,0,0,0,1,1,0,0,0,0.0,0.0,0,5.0,0.0,1.0,0.0,Matches,Switzerland
20,Fabian Frei,MF,33.0,0.3,0,0,0,1,0,0,0,1,1,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,Switzerland
21,Michel Aebischer,"MF,FW",25.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches,Switzerland
22,Christian Fassnacht,FW,28.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,Switzerland
23,Ardon Jasari,FW,19.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Switzerland
24,Squad Total,,27.6,4.0,9,0,0,53,49,6,52,24,25,0.0,0.0,0,190.0,45.0,49.0,47.9,,Switzerland
25,Opponent Total,,26.8,4.0,9,0,0,50,52,8,84,35,34,0.0,0.0,0,215.0,49.0,45.0,52.1,,Switzerland
0,Rodri,DF,25.0,4.3,0,0,0,5,1,0,2,3,2,0.0,0.0,0,35.0,16.0,5.0,76.2,Matches,Spain
1,Unai Simón,GK,25.0,4.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,11.0,2.0,0.0,100.0,Matches,Spain
2,Dani Olmo,FW,24.0,4.1,0,0,0,5,6,2,10,1,3,0.0,0.0,0,15.0,0.0,4.0,0.0,Matches,Spain
3,Sergio Busquets,MF,33.0,4.0,1,0,0,3,3,0,0,1,4,0.0,0.0,0,28.0,8.0,5.0,61.5,Matches,Spain
4,Pedri,MF,19.0,4.0,0,0,0,2,3,0,2,4,2,0.0,0.0,0,27.0,2.0,0.0,100.0,Matches,Spain
5,Gavi,MF,17.0,3.2,0,0,0,9,14,0,4,1,4,0.0,0.0,0,7.0,2.0,5.0,28.6,Matches,Spain
6,Aymeric Laporte,DF,28.0,3.3,1,0,0,3,2,0,0,3,0,0.0,0.0,0,17.0,5.0,3.0,62.5,Matches,Spain
7,Jordi Alba,DF,33.0,2.9,0,0,0,4,3,1,14,3,4,1.0,0.0,0,20.0,0.0,2.0,0.0,Matches,Spain
8,Marco Asensio,FW,26.0,2.5,0,0,0,3,3,0,8,0,1,0.0,0.0,0,3.0,0.0,2.0,0.0,Matches,Spain
9,Ferrán Torres,FW,22.0,2.4,0,0,0,1,5,2,9,0,0,0.0,0.0,0,8.0,0.0,3.0,0.0,Matches,Spain
10,César Azpilicueta,DF,32.0,1.5,0,0,0,2,0,0,3,1,0,0.0,0.0,0,5.0,2.0,2.0,50.0,Matches,Spain
11,Álvaro Morata,FW,29.0,2.1,0,0,0,1,2,5,0,0,1,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,Spain
12,Nico Williams,FW,19.0,1.6,0,0,0,0,1,1,6,0,2,0.0,0.0,0,7.0,1.0,2.0,33.3,Matches,Spain
13,Dani Carvajal,DF,30.0,1.5,0,0,0,0,1,0,0,2,1,0.0,0.0,0,9.0,0.0,1.0,0.0,Matches,Spain
14,Alejandro Balde,DF,18.0,1.4,0,0,0,2,1,0,2,0,6,0.0,0.0,0,10.0,0.0,2.0,0.0,Matches,Spain
15,Marcos Llorente,DF,27.0,1.3,0,0,0,0,0,0,2,0,0,0.0,0.0,0,9.0,0.0,1.0,0.0,Matches,Spain
16,Pau Torres,DF,25.0,1.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,6.0,1.0,1.0,50.0,Matches,Spain
17,Carlos Soler,MF,25.0,1.0,0,0,0,0,1,0,3,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,Matches,Spain
18,Koke,MF,30.0,0.6,0,0,0,0,0,0,0,0,1,0.0,0.0,0,2.0,0.0,0.0,,Matches,Spain
19,Ansu Fati,FW,19.0,0.5,0,0,0,0,0,0,1,0,1,0.0,0.0,0,1.0,1.0,0.0,100.0,Matches,Spain
20,Pablo Sarabia,FW,30.0,0.0,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Spain
21,Squad Total,,25.5,4.3,2,0,0,41,46,11,69,19,32,1.0,0.0,0,225.0,41.0,39.0,51.3,,Spain
22,Opponent Total,,27.5,4.3,9,0,0,47,39,19,28,52,52,0.0,1.0,0,218.0,39.0,41.0,48.8,,Spain
0,Tyler Adams,MF,23.0,4.0,1,0,0,5,5,0,2,4,9,0.0,0.0,0,33.0,5.0,2.0,71.4,Matches,United
1,Tim Ream,DF,34.0,4.0,1,0,0,1,2,0,0,4,3,0.0,0.0,0,19.0,6.0,8.0,42.9,Matches,United
2,Matt Turner,GK,27.0,4.0,0,0,0,0,4,0,0,0,0,0.0,0.0,0,7.0,0.0,0.0,,Matches,United
3,Antonee Robinson,DF,24.0,4.0,0,0,0,2,0,1,21,7,4,0.0,0.0,0,40.0,5.0,3.0,62.5,Matches,United
4,Yunus Musah,MF,19.0,3.8,0,0,0,9,3,0,8,2,6,0.0,0.0,0,23.0,3.0,3.0,50.0,Matches,United
5,Timothy Weah,FW,22.0,3.5,0,0,0,1,1,2,8,0,0,0.0,0.0,0,10.0,2.0,3.0,40.0,Matches,United
6,Christian Pulisic,"FW,MF",23.0,3.5,0,0,0,2,11,1,31,0,0,0.0,0.0,0,11.0,2.0,4.0,33.3,Matches,United
7,Sergiño Dest,DF,21.0,3.4,1,0,0,4,2,0,9,2,2,0.0,0.0,0,13.0,1.0,3.0,25.0,Matches,United
8,Weston McKennie,MF,23.0,3.0,1,0,0,6,2,0,1,0,1,0.0,0.0,0,14.0,3.0,3.0,50.0,Matches,United
9,Walker Zimmerman,DF,29.0,3.1,0,0,0,3,0,0,0,4,2,0.0,1.0,0,17.0,8.0,5.0,61.5,Matches,United
10,Josh Sargent,FW,22.0,1.7,0,0,0,2,0,0,1,1,0,0.0,0.0,0,1.0,3.0,6.0,33.3,Matches,United
11,Haji Wright,FW,24.0,1.5,0,0,0,1,3,1,1,0,0,0.0,0.0,0,4.0,6.0,7.0,46.2,Matches,United
12,Cameron Carter-Vickers,DF,24.0,1.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,4.0,4.0,4.0,50.0,Matches,United
13,Jesús Ferreira,FW,21.0,0.5,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,United
14,Brenden Aaronson,MF,21.0,1.2,0,0,0,3,3,0,3,1,2,0.0,0.0,0,9.0,0.0,1.0,0.0,Matches,United
15,Gio Reyna,FW,19.0,0.6,0,0,0,0,2,0,2,0,0,0.0,0.0,0,1.0,2.0,0.0,100.0,Matches,United
16,Kellyn Acosta,MF,26.0,0.5,1,0,0,1,0,0,0,0,2,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,United
17,DeAndre Yedlin,DF,28.0,0.4,0,0,0,2,0,0,4,0,1,0.0,0.0,0,1.0,1.0,0.0,100.0,Matches,United
18,Shaquell Moore,DF,25.0,0.2,0,0,0,3,0,0,0,0,2,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,United
19,Jordan Morris,"FW,DF",27.0,0.0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Matches,United
20,Squad Total,,24.5,4.0,5,0,0,45,40,5,93,25,34,0.0,1.0,0,212.0,53.0,53.0,50.0,,United
21,Opponent Total,,27.0,4.0,7,0,0,43,40,4,52,41,42,1.0,0.0,0,213.0,53.0,53.0,50.0,,United
0,Matty Cash,DF,24.0,4.0,2,0,0,7,3,0,9,0,3,0.0,0.0,0,10.0,2.0,1.0,66.7,Matches,Poland
1,Kamil Glik,DF,34.0,4.0,0,0,0,2,0,0,0,3,1,0.0,0.0,0,11.0,4.0,3.0,57.1,Matches,Poland
2,Robert Lewandowski,FW,33.0,4.0,0,0,0,6,9,0,3,1,2,1.0,0.0,0,14.0,16.0,17.0,48.5,Matches,Poland
3,Wojciech Szczęsny,GK,32.0,4.0,0,0,0,1,1,0,0,0,0,0.0,1.0,0,4.0,2.0,0.0,100.0,Matches,Poland
4,Jakub Kiwior,DF,22.0,3.9,1,0,0,1,0,0,0,4,1,0.0,0.0,0,11.0,3.0,4.0,42.9,Matches,Poland
5,Bartosz Bereszyński,DF,29.0,3.8,1,0,0,5,3,0,4,2,2,0.0,0.0,0,15.0,4.0,2.0,66.7,Matches,Poland
6,Grzegorz Krychowiak,MF,32.0,3.7,1,0,0,6,7,0,1,5,4,0.0,0.0,0,23.0,4.0,3.0,57.1,Matches,Poland
7,Piotr Zieliński,"MF,FW",28.0,3.6,0,0,0,4,2,0,16,1,5,0.0,0.0,0,17.0,0.0,2.0,0.0,Matches,Poland
8,Przemysław Frankowski,MF,27.0,2.7,1,0,0,1,5,0,8,3,4,0.0,0.0,0,12.0,1.0,1.0,50.0,Matches,Poland
9,Jakub Kamiński,MF,20.0,2.6,0,0,0,5,2,0,4,0,1,0.0,0.0,0,17.0,0.0,5.0,0.0,Matches,Poland
10,Krystian Bielik,MF,24.0,2.4,0,0,0,5,4,0,0,5,3,0.0,1.0,0,10.0,6.0,4.0,60.0,Matches,Poland
11,Sebastian Szymański,MF,23.0,1.5,0,0,0,1,3,0,3,2,3,0.0,0.0,0,6.0,1.0,5.0,16.7,Matches,Poland
12,Arkadiusz Milik,"FW,MF",28.0,1.1,1,0,0,1,2,1,0,0,0,0.0,0.0,0,3.0,4.0,5.0,44.4,Matches,Poland
13,Nicola Zalewski,MF,20.0,0.7,0,0,0,1,2,0,1,0,0,0.0,0.0,0,5.0,0.0,1.0,0.0,Matches,Poland
14,Karol Świderski,FW,25.0,0.5,0,0,0,0,1,0,0,2,1,0.0,0.0,0,3.0,1.0,1.0,50.0,Matches,Poland
15,Michał Skóraś,MF,22.0,0.5,0,0,0,1,2,0,0,1,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Matches,Poland
16,Damian Szymański,MF,26.0,0.3,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Poland
17,Krzysztof Piątek,FW,26.0,0.3,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,2.0,6.0,25.0,Matches,Poland
18,Artur Jędrzejczyk,DF,34.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Poland
19,Jan Bednarek,DF,26.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Poland
20,Kamil Grosicki,MF,34.0,0.0,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Poland
21,Squad Total,,27.8,4.0,7,0,0,47,47,1,52,30,30,1.0,2.0,0,164.0,51.0,60.0,45.9,,Poland
22,Opponent Total,,27.5,4.0,6,0,0,50,44,7,96,28,34,2.0,2.0,0,193.0,60.0,51.0,54.1,,Poland
0,Son Heung-min,"FW,MF",29.0,4.0,0,0,0,1,6,2,21,2,2,0.0,0.0,0,16.0,0.0,2.0,0.0,Matches,Korea
1,Kim Moonhwan,DF,26.0,4.0,0,0,0,1,0,0,15,4,4,0.0,0.0,0,16.0,6.0,3.0,66.7,Matches,Korea
2,Kim Seung-gyu,GK,31.0,4.0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,5.0,0.0,2.0,0.0,Matches,Korea
3,Kim Young-gwon,DF,32.0,3.9,1,0,0,1,2,0,1,3,2,0.0,0.0,0,13.0,6.0,2.0,75.0,Matches,Korea
4,Hwang In-beom,MF,25.0,3.7,0,0,0,7,3,0,6,3,3,0.0,0.0,0,22.0,2.0,5.0,28.6,Matches,Korea
5,Kim Jin-su,DF,30.0,3.5,0,0,0,1,6,1,16,3,5,0.0,0.0,0,12.0,10.0,4.0,71.4,Matches,Korea
6,Jung Woo-young,MF,32.0,3.4,2,0,0,11,0,0,1,3,4,0.0,1.0,0,24.0,6.0,2.0,75.0,Matches,Korea
7,Cho Guesung,FW,24.0,3.1,1,0,0,7,6,4,1,0,0,0.0,0.0,0,4.0,21.0,12.0,63.6,Matches,Korea
8,Kim Min-jae,DF,25.0,3.0,0,0,0,0,0,0,1,2,1,0.0,0.0,0,14.0,10.0,1.0,90.9,Matches,Korea
9,Lee Jae-sung,"MF,FW",29.0,2.3,0,0,0,2,1,0,1,3,2,0.0,0.0,0,7.0,3.0,4.0,42.9,Matches,Korea
