,Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,
15,Eduardo Camavinga,DF,19.0,1.6,0,0,0,2,8,0,2,3,9,0.0,0.0,0,15.0,2.0,0.0,100.0,Matches,France
16,Axel Disasi,DF,24.0,1.0,0,0,0,0,1,0,2,3,2,0.0,0.0,0,4.0,4.0,0.0,100.0,Matches,France
17,Steve Mandanda,GK,37.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,France
18,Benjamin Pavard,DF,26.0,1.0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,5.0,0.0,0.0,,Matches,France
19,Mattéo Guendouzi,"FW,MF",23.0,0.9,0,0,0,0,1,0,0,0,1,0.0,0.0,0,4.0,1.0,0.0,100.0,Matches,France
20,Jordan Veretout,MF,29.0,0.7,0,0,0,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,Matches,France
21,Lucas Hernández,DF,26.0,0.1,0,0,0,0,0,0,1,0,1,0.0,0.0,0,1.0,0.0,0.0,,Matches,France
22,Marcus Thuram,"FW,MF",24.0,1.7,1,0,0,3,5,1,1,0,2,0.0,0.0,0,8.0,8.0,9.0,47.1,Matches,France
23,William Saliba,DF,21.0,0.3,0,0,0,0,1,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,,Matches,France
24,Squad Total,,26.3,7.3,8,0,0,69,85,16,132,76,88,1.0,4.0,0,364.0,106.0,78.0,57.6,,France
25,Opponent Total,,26.8,7.3,15,0,0,89,67,13,111,54,82,3.0,2.0,0,377.0,78.0,106.0,42.4,,France
0,Joško Gvardiol,DF,20.0,7.7,0,0,0,8,6,0,1,11,6,0.0,0.0,0,48.0,3.0,5.0,37.5,Matches,Croatia
1,Dominik Livaković,GK,27.0,7.7,1,0,0,1,0,0,0,0,0,0.0,1.0,0,11.0,1.0,0.0,100.0,Matches,Croatia
2,Ivan Perišić,"FW,DF",33.0,7.4,0,0,0,10,0,3,27,7,4,0.0,0.0,0,31.0,17.0,14.0,54.8,Matches,Croatia
3,Luka Modrić,MF,36.0,7.3,1,0,0,13,15,1,33,10,10,0.0,0.0,0,51.0,3.0,4.0,42.9,Matches,Croatia
4,Mateo Kovačić,MF,28.0,7.1,2,0,0,3,11,0,3,4,17,0.0,0.0,0,46.0,4.0,2.0,66.7,Matches,Croatia
5,Andrej Kramarić,"FW,MF",30.0,5.3,0,0,0,1,4,2,6,0,2,0.0,0.0,0,18.0,0.0,4.0,0.0,Matches,Croatia
6,Josip Juranović,DF,26.0,6.7,0,0,0,1,6,0,24,3,8,0.0,0.0,0,40.0,2.0,4.0,33.3,Matches,Croatia
7,Dejan Lovren,DF,32.0,6.7,1,0,0,2,5,1,3,6,2,0.0,0.0,0,31.0,17.0,6.0,73.9,Matches,Croatia
8,Marcelo Brozović,MF,29.0,6.1,1,0,0,12,11,0,4,4,7,0.0,0.0,0,45.0,6.0,4.0,60.0,Matches,Croatia
9,Borna Sosa,DF,24.0,4.7,0,0,0,4,2,0,21,2,6,0.0,0.0,0,14.0,4.0,4.0,50.0,Matches,Croatia
10,Marko Livaja,FW,28.0,2.7,0,0,0,6,3,1,1,1,2,0.0,0.0,0,10.0,4.0,5.0,44.4,Matches,Croatia
11,Mario Pašalić,"FW,MF",27.0,3.0,0,0,0,4,1,2,1,3,5,0.0,0.0,0,21.0,7.0,7.0,50.0,Matches,Croatia
12,Bruno Petković,FW,27.0,2.6,1,0,0,3,11,0,1,0,4,0.0,0.0,0,9.0,8.0,13.0,38.1,Matches,Croatia
13,Nikola Vlašić,"FW,MF",24.0,2.3,0,0,0,4,6,0,4,1,1,0.0,0.0,0,10.0,2.0,6.0,25.0,Matches,Croatia
14,Mislav Oršić,FW,29.0,1.8,0,0,0,3,0,1,4,0,3,0.0,0.0,0,4.0,0.0,0.0,,Matches,Croatia
15,Lovro Majer,"MF,FW",24.0,1.4,0,0,0,5,3,0,8,0,1,0.0,0.0,0,10.0,0.0,0.0,,Matches,Croatia
16,Borna Barišić,DF,29.0,1.3,1,0,0,5,2,0,11,0,1,0.0,0.0,0,3.0,6.0,2.0,75.0,Matches,Croatia
17,Josip Stanišić,DF,22.0,1.0,0,0,0,1,2,0,1,1,3,0.0,0.0,0,4.0,1.0,0.0,100.0,Matches,Croatia
18,Josip Šutalo,DF,22.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,3.0,0.0,Matches,Croatia
19,Ante Budimir,FW,30.0,0.6,0,0,0,4,2,0,0,0,1,0.0,0.0,0,0.0,2.0,4.0,33.3,Matches,Croatia
20,Kristijan Jakić,FW,25.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Croatia
21,Squad Total,,28.3,7.7,8,0,0,90,90,11,153,53,83,0.0,1.0,0,409.0,87.0,87.0,50.0,,Croatia
22,Opponent Total,,27.5,7.7,11,0,0,93,89,12,124,64,65,1.0,0.0,0,381.0,87.0,87.0,50.0,,Croatia
0,Sofyan Amrabat,MF,25.0,7.3,1,0,0,14,6,1,2,6,10,0.0,0.0,0,57.0,2.0,3.0,40.0,Matches,Morocco
1,Hakim Ziyech,FW,29.0,7.1,0,0,0,12,7,2,30,10,7,0.0,0.0,0,29.0,3.0,6.0,33.3,Matches,Morocco
2,Achraf Hakimi,DF,23.0,7.0,0,0,0,6,13,0,12,9,17,0.0,0.0,0,46.0,5.0,8.0,38.5,Matches,Morocco
3,Youssef En-Nesyri,FW,25.0,6.0,0,0,0,2,4,4,0,1,2,0.0,0.0,0,13.0,21.0,14.0,60.0,Matches,Morocco
4,Sofiane Boufal,FW,28.0,5.3,1,0,0,11,14,2,7,2,5,0.0,0.0,0,20.0,3.0,7.0,30.0,Matches,Morocco
5,Yassine Bounou,GK,31.0,6.3,0,0,0,0,1,0,0,0,0,0.0,0.0,0,7.0,1.0,0.0,100.0,Matches,Morocco
6,Azzedine Ounahi,MF,22.0,6.3,1,0,0,3,13,1,3,7,8,0.0,0.0,0,38.0,1.0,3.0,25.0,Matches,Morocco
