,Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,
12,Dušan Vlahović,FW,22.0,0.9,1,3,3,100.0,3.42,3.42,0.33,0.33,10.9,0.0,0,0,0.8,0.8,0.27,0.2,0.2,Matches,Serbia
13,Filip Mladenović,DF,30.0,0.7,0,1,0,0.0,1.38,0.0,0.0,,10.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Serbia
14,Nemanja Radonjić,"DF,FW",26.0,0.7,0,2,0,0.0,3.0,0.0,0.0,,22.3,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Serbia
15,Luka Jović,FW,24.0,0.4,0,2,0,0.0,5.0,0.0,0.0,,17.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Serbia
16,Stefan Mitrović,DF,32.0,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Serbia
17,Ivan Ilić,MF,21.0,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Serbia
18,Darko Lazović,DF,31.0,0.3,0,1,0,0.0,3.6,0.0,0.0,,27.3,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Serbia
19,Filip Đuričić,"MF,FW",30.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Serbia
20,Srđan Babić,DF,26.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Serbia
21,Marko Grujić,MF,26.0,0.1,0,1,1,100.0,6.92,6.92,0.0,0.0,29.6,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Serbia
22,Squad Total,,26.5,3.0,5,32,9,28.1,10.67,3.0,0.16,0.56,16.5,0.0,0,0,3.4,3.4,0.11,1.6,1.6,,Serbia
23,Opponent Total,,27.8,3.0,8,50,24,48.0,16.67,8.0,0.16,0.33,18.6,4.0,0,0,7.3,7.3,0.15,0.7,0.7,,Serbia
0,Chris Mepham,DF,24.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Wales
1,Joe Rodon,DF,24.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Wales
2,Aaron Ramsey,MF,31.0,3.0,0,1,0,0.0,0.34,0.0,0.0,,18.0,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Wales
3,Ethan Ampadu,"MF,DF",21.0,2.8,0,1,0,0.0,0.35,0.0,0.0,,32.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Wales
4,Ben Davies,DF,29.0,2.6,0,3,2,66.7,1.13,0.76,0.0,0.0,12.1,0.0,0,0,0.3,0.3,0.12,-0.3,-0.3,Matches,Wales
5,Gareth Bale,FW,32.0,2.5,1,1,1,100.0,0.4,0.4,0.0,0.0,46.6,0.0,1,1,0.8,0.0,0.02,0.2,0.0,Matches,Wales
6,Neco Williams,DF,21.0,2.3,0,3,0,0.0,1.32,0.0,0.0,,26.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Wales
7,Kieffer Moore,FW,29.0,2.5,0,6,2,33.3,2.4,0.8,0.0,0.0,16.2,0.0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches,Wales
8,Connor Roberts,DF,26.0,2.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Wales
