,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Top Team Scorer,Goalkeeper,Notes
22,GR,de Germany,3.0,1.0,1.0,1.0,6.0,5.0,1.0,4.0,10.1,3.4,6.7,2.22,"Kai Havertz, Niclas Füllkrug - 2",Manuel Neuer,
23,GR,ec Ecuador,3.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,3.7,2.6,1.2,0.39,Enner Valencia - 3,Hernán Galíndez,
24,GR,cm Cameroon,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,3.4,5.8,-2.3,-0.78,Vincent Aboubakar - 2,Devis Epassy,
25,GR,uy Uruguay,3.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,3.7,3.5,0.1,0.05,Giorgian De Arrascaeta - 2,Sergio Rochet,
26,GR,tn Tunisia,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.3,2.8,-0.5,-0.17,Wahbi Khazri - 1,Aimen Dahmen,
27,GR,mx Mexico,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,4.0,3.3,2.4,0.9,0.3,"Henry Martín, Luis Chávez - 1",Guillermo Ochoa,
28,GR,be Belgium,3.0,1.0,1.0,1.0,1.0,2.0,-1.0,4.0,4.7,4.6,0.2,0.05,Michy Batshuayi - 1,Thibaut Courtois,
29,GR,gh Ghana,3.0,1.0,0.0,2.0,5.0,7.0,-2.0,3.0,4.1,5.6,-1.4,-0.48,Kudus Mohammed - 2,Lawrence Ati-Zigi,
30,GR,sa Saudi Arabia,3.0,1.0,0.0,2.0,3.0,5.0,-2.0,3.0,3.0,6.0,-3.0,-1.01,Salem Al-Dawsari - 2,Mohammed Al-Owais,
31,GR,ir IR Iran,3.0,1.0,0.0,2.0,4.0,7.0,-3.0,3.0,3.2,4.2,-0.9,-0.32,Mehdi Taremi - 2,Hossein Hosseini,
32,GR,cr Costa Rica,3.0,1.0,0.0,2.0,3.0,11.0,-8.0,3.0,1.4,10.1,-8.7,-2.9,"Juan Pablo Vargas, Keysher Fuller... - 1",Keylor Navas,
33,GR,dk Denmark,3.0,0.0,1.0,2.0,1.0,3.0,-2.0,1.0,2.7,3.9,-1.2,-0.39,Andreas Christensen - 1,Kasper Schmeichel,
34,GR,rs Serbia,3.0,0.0,1.0,2.0,5.0,8.0,-3.0,1.0,3.4,7.3,-3.9,-1.32,Aleksandar Mitrović - 2,Vanja Milinković-Savić,
35,GR,wls Wales,3.0,0.0,1.0,2.0,1.0,6.0,-5.0,1.0,2.7,4.6,-1.9,-0.63,Gareth Bale - 1,Wayne Hennessey,
36,GR,ca Canada,3.0,0.0,0.0,3.0,2.0,7.0,-5.0,0.0,4.2,3.9,0.3,0.11,Alphonso Davies - 1,Milan Borjan,
37,GR,qa Qatar,3.0,0.0,0.0,3.0,1.0,7.0,-6.0,0.0,1.4,3.5,-2.1,-0.71,Mohammed Muntari - 1,Meshaal Barsham,
